neighborhood,description,history,vibe,activities_attractions
madison-park,"Since the early days in Seattle, Madison Park has been a destination for anyone who wants to enjoy a picturesque and chic place to spend the day. Today, the whole neighborhood has the same reputation.","The Duwamish tribe native to the area once used this area as their summer hunting and recreation area, and it didn’t take long for white settlers to follow suit. Within decades of the city’s foundation, Madison Park was created and drew vacationers with piers and a promenade, a boathouse, live entertainment, and even Seattle’s first baseball diamond. Once Madison Avenue was constructed and people could easily make their way to the area, houses were built like mad; everyone wanted their own personal view of Lake Washington.Today, a charming business district and the still-popular Madison Park beach are the pride of the neighborhood.","It’s hard not to feel a little fancier when you’re hanging out in Madison Park. The houses are beautiful, the shops and restaurants are classy and unique, and it’s far enough away from the city to make it seem like you’ve really gotten away on vacation. It’s also clear that the community is a supportive one; there are always events going on to honor local artists or give a nod to new businesses that have set up shop.","At the east end of Madison Avenue, you can find several blocks’ worth of shops, restaurants, and spas. You’d have to go back several times to get an appreciation of the variety of cuisines; there are French bistros (like Chef in the Hat), sushi bars like Nishino, a handful of pubs and alehouses, one amazing Tex-Mex place called Cactus, and a smattering of other staples, like pizza and Thai food.Madison Park Beach and the Washington Park Arboretum both offer great outdoorsy activities, like swimming, kayaking, hiking, or just stopping to smell the roses. Or, as in the case of the arboretum, the rhododendrons."
madison-valley,"Though it hasn’t always been considered such, Madison Valley is a desirable neighborhood in the middle of the Capitol Hill/Central area of Seattle. With tons of parks and a growing business district, this place has it all.","For decades, Madison Valley was simply an area that had to be traveled through to get to more interesting places, like Madison Park on the shores of Lake Washington. Because of its steep slopes that were prone to landslides, no one really wanted to build there. But as the lots near the water filled and more housing was built for war workers, Madison Valley itself eventually populated.Much of the area has maintained its natural beauty, and parks are practically a dime a dozen. Small, interconnected green spaces make their way down to Lake Washington, and the community is forever involved in protecting nearby habitats.","Because Madison Valley has only recently been given the respect it deserves, the attitude here is fresh with a “look at us!” kind of flair. The community has joined together to make their voices heard on issues such as safety, education, and environmental conservation. With a growing business district along Madison Avenue, the area is attracting more and more visitors, and residents are nothing but proud of their neighborhood.","Anyone who loves a good neighborhood stroll will adore the shops and restaurants on Madison Avenue. A French theme prevails, with places like Tallulah’s, Luc, Crush, and Voila! Bistrot. You can also hit up fun home décor stores and boutiques like City People’s Garden Store or Sugarlump for clothing “from bump to big kids”."
madrona,"Despite its close proximity to busier neighborhoods like Capitol Hill and the Central District, Madrona is an oasis of quiet and comfort. Its business district is small but classy, and the homes here are absolutely stunning.","Named after the native trees that covered the hillside, Madrona was the perfect place to settle for early Seattleites. One of the first attractions was Madrona Park, a lakeside swimming, boating, walking and picnicking dreamland. According to historylink.org, some people chose to camp in the park for the entire summer! Lots were quickly bought on the surrounding hillside, and eventually Lake Washington Boulevard was constructed so drivers could also enjoy the view of the lake.It is a diverse neighborhood, but there wasn’t always harmony between residents. During the Civil Rights area, racial tension was high and some violence even erupted. Thankfully, by the 1970s these issues were resolved, and once again Madrona is well known for its ethnic diversity and acceptance of everyone.","Madrona is the place to be if you want to live in a beautiful, quiet neighborhood yet still be within a stone’s throw of downtown. OK, maybe not a literal stone’s throw, but the residents do enjoy one of the lowest average commute times in the city, at 22 minutes. Wholesome family events are easy to find; movie nights, cultural parades, outdoor concerts, knitting groups, and wine tasting to name a few. This is a true community, with everyone working together to make it the best place to be. It’s no wonder they claim to be “Seattle’s best kept secret!”","There truly are some beautiful parks in Madrona. Windy, tree-lined roads make their way from the top of the hill down to Lake Washington, and hidden trails and staircases make the route easy for pedestrians. Madrona Park itself has a swimming area, picnic shelters, lots of grass and trees, and a reclaimed wetland area. The trail that follows Lake Washington Blvd is very popular for runners and bikers.The business district takes up about four blocks on 34th Avenue and Union Street. It may be small, but the establishments here seem to have been hand-picked to fit in with the neighborhood. Upscale shopping options include Hitchcock, Driftwood Consignment, and Glassybaby’s famous hand-blown glass votives. For food, try the Hi Spot Café for brunch, Café Soleil for traditional Ethiopian cuisine,or Bottlehouse for dinner."
montlake,"Sandwiched between Eastlake and the Washington Parks Arboretum, Montlake is a quiet neighborhood with ample park space. Because most of its homes were built before 1940, it maintains a charming old school feel.","In 1861, Montlake was known as Union City and was hoped to become a booming business town with shipping and freight opportunities. It didn’t quite work out in that way, but people did see the area’s potential for a beautiful residential neighborhood. In fact, land developers required a minimum dollar amount be spent on each new home constructed ($3,000 to $5,000 depending on where you were). People quickly snapped up plots with lake views, which were only made better after the Montlake Cut project was completed in 1917.","This is a community that rallies together to solve issues, usually revolving around environmental preservation. Hot-button issues include the ever-evolving debate about the Highway 520 bridge that cuts through the neighborhood, habitat restoration, and the upkeep of the area’s parks. Not that they can’t let loose and have fun. The community center hosts events like a fall festival, Minute to Win It nights, all kinds of sports and music lessons, and ‘tot’ programs for the little guys.","Much of the draw of Montlake is in its park system. Interlaken Park, which forms the border between Montlake and Capitol Hill, had some of Seattle’s first bike and buggy trails, which today make for great hiking. The Washington Parks Arboretum (which means, literally, ‘tree museum’), marks the eastern border and has flower gardens, trails that go over land and water, and a cool Japanese garden.The small business district on 24th Avenue has all of your basic needs—Fuel coffee, Mont’s Market (aptly named, wouldn’t you say?), pizza and Italian at Café Lago, and the standard neighborhood pub, Montlake Alehouse.Every September, the St. Demetrios Church holds their Greek Festival—one of the most famous events of the year in Montlake."
pioneer-square,"As Seattle’s first unofficial neighborhood, Pioneer Square is where the historic meets the 21st century. Seattleites recognize this area for its cool architecture and bustling nightlife.","Some of Seattle’s first settlers (pioneers, if you will) chose to build their cabins here, and the area quickly grew after Henry Yesler chose to erect the first steam-powered lumber mill on the pier. Tragedy struck on June 6, 1889, when the entire downtown went up in flames. Pioneer Square was, again, the place where rebuilding started. Many of these structures still stand today and have been protected from property developers by Seattle’s historic preservation movement.","Pioneer Square isn’t necessarily known for its residential appeal, although that is set to change in the next few years. A plan is in motion to build a large housing development in place of the north lot of Century Link field. This will bring not only hundreds of new apartments and condos, but retail and office spaces as well. In the meantime, the neighborhood still has much to offer in the way of art galleries, bars and restaurants, and various yearly events.","If you’re curious about the history of this great city, Pioneer Square should be your first stop. The underground tour is world-famous and takes groups of people under the streets to see a glimpse of Seattle’s past—the buildings and alleys that were buried after the great fire of 1889. You may also want to check out the nation’s smallest national park—The Klondike Gold Rush National Historical Park. This little-known museum will teach you all about Seattle’s role in the Yukon gold rush in the 1890s. Finally, head up to the observation deck of the Smith Tower—one of the world’s first skyscrapers—to see an amazing view of Seattle.For a more modern view of the neighborhood, head to Pioneer Square on the First Thursday of the month for their giant art walk. This free tour of pretty much any gallery you want to walk into has been going strong for over 30 years and is a Seattle favorite. In fact, many other neighborhoods have adopted the tradition themselves.If you’re hungry, try out Tat’s Delicatessen for their famous east-coast style cheesesteak sandwich. Late at night, try out Central Saloon. Established in 1892, this thing is Seattle’s oldest bar by a long shot."
south-lake-union,"Once home to blue-collar workers and a major industrial center of the city, South Lake Union has recently begun its transition into hip urban neighborhood.","In its early days, this region was where timber and coal arrived by barge from across the shores of Lake Washington and was further transported to Elliot Bay, where it went on to California and other places along the west coast. In other words, South Lake Union was instrumental in the growth of the city. Sadly, after most of the trees had been cleared, business declined and the neighborhood went through a depression. Microsoft co-founder Paul Allen and his Vulcan Real Estate have rapidly changed the deserted warehouse district into a thriving hi-tech hub. The addition of a trolley system, a new park along the shore of Lake Union, and retail/apartment buildings have, in recent years, given South Lake Union the feeling of a neighborhood again.","It seems that people can’t get enough of South Lake Union these days. Everyone wants to either live here, work here, or come visit. New businesses are opening daily, transportation options are improving, and hip restaurants seem to open almost weekly. Perusing the neighborhood’s website gives a glimpse into what life is like here on a daily basis—tons of events, buzzing press releases about the new amenities, and a great interactive map that shows all of your options for exploring.The neighborhood is quickly being dominated by local technology companies. Amazon.com’s new headquarters is in the neighborhood, and you’re sure to see thousands of Amazonians roaming the streets at lunch time. Other stalwarts like Microsoft and UW Medicine also have a large presence in the neighborhood, along with plenty of up-and-coming tech startups. (The authors of this site hail from South Lake Union.)","To learn about the history of Lake Union and the surrounding neighborhood, hit up the new Lake Union Park (finished in 2010). Here, you can visit the Center for Wooden Boats, learn how to sail or paddle a dragon boat, or take a class on carving your own wooden boat. Or, just frolic on the grassy knoll for the afternoon.As far as the other options for dining, shopping, and exploring, it’s really hard to know where to start. One of the best places to start would be along Westlake Avenue. Try the Dahlia Bakery for an amazing breakfast sandwich, or the Row House Café, which is built into a historic house. Once fortified, think about renting a scooter from Scoot About—there’s no better way to explore the neighborhood than on a cute little Vespa!"
bryant,"Bryant is an eensy-weensy little sliver between Ravenna and View Ridge, but what it lacks in size it more than makes up for in charm.",Sometimes this neighborhood is referred to as Ravenna-Bryant because of its similar history and timeline. The area was first settled when a rail line was put in along the western shore of Lake Washington and continued to grow when the University of Washington built its campus nearby. Bryant is special because it is the least infiltrated by businesses and is mostly residential.,"Bryant has a well-kept-secret sort of feel. It’s mainly residential and full of some extremely charming houses, but there are a few areas around the University Village and along 35th Avenue that contain businesses. This is a great place to be if you enjoy the surrounding neighborhoods but like to be in a quieter location.","At the southern border of the neighborhood, marked by 55th Street, there are several noteworthy places to investigate. Take the kiddos into Planet Happy Toys or to a fancy tea party at Queen Mary Tea Room. Partake in some self-care at one of the many salons and yoga studios. Finally, grab a bite to eat at the original Kidd Valley location, get drinks at Duchess Tavern, or get fancy and head to Pair for some French cuisine."
hawthorne-hills,"This small residential area near View Ridge and Laurelhurst offers amazing views of Lake Washington, Downtown Seattle, and the Cascade Mountains. It is charming and quiet, but in a great location for zipping to other parts of the city.","Hawthorne Hills and View Ridge were being developed at the same time, and each had their appeals. Hawthorne Hills hoped to outshine Laurelhurst with paved streets, public utilities, and sewers, but View Ridge did a little better job of advertising and attracting residents. In the end, Hawthorne Hills didn’t quite reach its goal, but the careful planning had a great end result. Nearly all of the homes in Hawthorne Hills are the originals, with some renovations in the past few decades.","People live the good life in Hawthorne Hills. Rolling, snaking boulevards give it a stress-free feel. And while there is no business district, none is really needed; the University District, Ravenna, and Wedgwood neighborhoods all have plenty of things to do and are within easy reach.","From the bottom of the hill, it’s easy to hop on the Burke-Gilman trail. Heading east will give you great views of Lake Washington and access to its beaches. Head west will take you to the U-Village and all of the shopping and dining experiences you could imagine."
lake-city,"Seattle’s northeast corner, an area known as Lake City, is divided into several smaller neighborhoods—Victory Heights, Meadowbrook, Matthews Beach, Cedar Park, and Olympic Hills.","Lake City has seen many iterations of itself, going from sleepy logging and farming community known to some as “Little Germany” to a seedy destination for many city dwellers during the prohibition era. After World War II ended, young families flocked here and the population exploded. Currently, residents are rallying together to focus on environmental issues and on drawing visitors back to its refreshed (and significantly more reputable) business district.","There’s something for everyone in Lake City. The area’s main thoroughfare, Lake City Way, bisects the neighborhood and is the best place to go if you want a bustling atmosphere. Newly constructed condos and businesses mingle with the retro establishments from years gone by. Farther out, the feel is more residential and quiet. Even though it is one of the most populous and spread out neighborhoods in the city, the community is close and knows how to work together to solve issues.","Some of Little Germany’s charm remains in Lake City—stop in at Kaffeeklatsch coffee shop and bakery for an authentic German pretzel (bretzl) or an apfeltasche (an apple turnover)! Really you’ve got your pick of any national cuisine—try Lake City Gyros, Erawan Bangkok Thai cuisine, Pacific Market for Persian, and round out your world tour at Ezell’s for some good ol’ southern fried chicken.Many beautification strategies have been employed in recent years, including several sculptures that appear at seemingly random places like in the medians on the roads. Of course you can’t miss the giant giraffe as you drive down Lake City Way. Plus, it’s not unusual to come across a large mural."
laurelhurst,"The neighborhood of Laurelhurst is every bit as fancy and meticulously maintained as the name would imply. The homes are large, the views are impressive, and safety and order are major priorities.","Laurelhurst has been enticing people with its beauty for as far back as we can see. The Duwamish tribe used the land as a seasonal campground, and early Seattleites would row across to the peninsula from Madison Beach, farther down on Lake Washington. Real estate developers recognized a good thing when they saw it, and soon the land was being cleared of its trees and being made ready for homesteaders. As the railway made its way north along Lake Washington, the area became even more popular. People who lived right on the water inherited an extra few feet of beach when the Lake Washington Ship Canal project caused the water level to drop. Today, residents count themselves lucky to have scored their own piece of this desirable neighborhood.Laurelhurst was one of the original suburbs of Seattle before it was annexed, and it has kept that same feel. The streetswind peacefully through the neighborhoodand homes are situated on little cul-de-sacs. If it weren’t for the views from the top of the hill, you wouldn’t suspect you’re in a large city. It’s easy to get to busier areas like the University District and even downtown. And even though it’s quiet, no way is Laurelhurst snobbish! This is a close-knit community where everyone is on the lookout for what’s best for their neighbors.","Laurelhurst is always good for a scenic drive to admire the houses, but if you’re looking for a little more action, head to Sandpoint Way. On the western end, you’ll find delightful little places like City People’s Mercantile, a hardware/home décor store, University Wines, and the Sand Point Grill. Closer to the University Village, there are many restaurants ranging from the fancy (Jak’s Grill) to the classic pizza joint, Varlamos Pizzeria.",
maple-leaf,"This place is every bit as quaint and wholesome as the name implies. Perfect for families and those who want to live in a tightly knit community, Maple Leaf is a gem of North Seattle, and has even been recognized nationally as a model neighborhood.","Like many North Seattle neighborhoods, Maple Leaf did not see much development until roads were able to better connect the area with the rest of the city. Slowly, residents began to organize themselves and lobby for improvements to the neighborhood. The community was so effective at seeing that their needs were met that they were nominated in 1986 for distinction in the Neighborhood of the Year contest by Neighborhoods, USA and came in 3rd place in their category!","Walking or driving through the neighborhood, you definitely get the feeling that this is a true community. “Welcome to Maple Leaf” signs adorn telephone poles, people are out walking with their babies or dogs, and when you go in a local business you are greeted with genuine enthusiasm. The Maple Leaf blog advertises nearby deals, alerts readers to community events, and educates about city-wide issues that may effect residents, with the odd missing-dog announcement thrown in.","The area around Roosevelt Avenue and 90th Street is the main business district in Maple Leaf. There, you’ll find much to keep you occupied. Hit up Cloud City Coffee for breakfast or a sandwich, and you’ll be equally likely to find some sort of community meeting taking place. Browse the kitschy store next door, Maxine’s—part florist, part gift shop. Roosevelt Ale House is a great place to stop for happy hour, or try Snappy Dragon for delicious Chinese fare.If you have kids, there are a few must-sees that your whole family will enjoy. One of the lesser-known treasures of the neighborhood is the Northwest Puppet Center, which houses a museum, a stage for plays, and holds classes for puppet enthusiasts of all ages. After you’ve exhausted all they have to offer, stop by Math ‘n’ Stuff and feast your eyes on their selection of games, puzzles, toys, and science kits. Run off some energy at the relatively new Maple Leaf Reservoir Park. The 16 acres of park land offer a viewpoint of both Mount Rainier and Lake Washington, a series of rain gardens, shelter, sports court, ball fields, and a play area boasting both a zip line and children’s garden."
